id,name,year,rating,availability
0,#28,2002,NULL,Yes
1,"#7 Train: An Immigrant Journey, The",2000,NULL,Yes
2,$,1971,6.4,Yes
3,"$1,000 Reward",1913,NULL,Yes
4,"$1,000 Reward",1915,NULL,Yes
5,"$1,000 Reward",1923,NULL,Yes
6,"$1,000,000 Duck",1971,5,Yes
7,"$1,000,000 Reward, The",1920,NULL,Yes
8,"$10,000 Under a Pillow",1921,NULL,Yes
9,"$100,000 ",1915,NULL,Yes
10,"$100,000 Pyramid, The",2001,NULL,Yes
11,$1000 a Touchdown,1939,6.7,Yes
12,"$20,000 Carat, The",1913,NULL,Yes
13,$21 a Day Once a Month,1941,NULL,Yes
14,"$2500 Bride, The",1912,NULL,Yes
15,$30 ,1999,7.5,Yes
16,"$30,000 ",1920,NULL,Yes
17,$300 y tickets,2002,NULL,Yes
18,"$40,000 ",1996,9.6,Yes
19,"$5,000 Reward",1918,NULL,Yes
20,"$5,000,000 Counterfeiting Plot, The",1914,NULL,Yes
21,$5.15/Hr.,2004,NULL,Yes
22,"$5.20 an Hour Dream, The",1980,NULL,Yes
23,"$50,000 Challenge, The",1989,NULL,Yes
24,"$50,000 Climax Show, The",1975,2.6,Yes
25,"$50,000 Jewel Theft, The",1915,NULL,Yes
26,"$50,000 Reward",1924,NULL,Yes
28,"$500 Reward, The",1911,NULL,Yes
29,"$500,000 Reward",1911,NULL,Yes
31,$pent,2000,4.3,Yes
32,$ucces Part One,1986,NULL,Yes
33,$windle,2002,5.4,Yes
34,& frres,2000,NULL,Yes
35,"''Bear'' Facts, The",1914,NULL,Yes
36,'15',2002,6.8,Yes
37,'24-25' ne vozvrashchayetsya,1968,NULL,Yes
38,'38,1987,6.7,Yes
39,'42,1951,NULL,Yes
40,"'49, un souffle de colre",1996,NULL,Yes
41,'49-'17,1917,5.8,Yes
42,'60s Pop Rock Reunion,2004,NULL,Yes
43,"'60s, The",1999,NULL,Yes
44,'68,1988,5.5,Yes
45,"'70s Celebration: The Beat Is Back, A",1993,NULL,Yes
46,"'70s: The Decade That Changed Television, The",2000,NULL,Yes
47,'88 Dodge Aries,2002,NULL,Yes
48,'93 jie tou ba wang,1993,NULL,Yes
49,'94 du bi dao zhi qing,1994,5.7,Yes
50,"'?' Motorist, The",1906,6.8,Yes
51,'A',1965,7.1,Yes
52,'A' gai waak,1983,7.2,Yes
53,'A' gai waak juk jaap,1987,7.2,Yes
54,"'Abbot' and 'Cresceus' Race, The",1901,NULL,Yes
55,'Akasaka no shimai' yori: yoru no wada,1960,NULL,Yes
56,"'Amphitrite', The",1897,NULL,Yes
57,"'Ang Galing galing mo, Babes'",2002,NULL,Yes
58,'Arriet's Baby,1913,NULL,Yes
59,'Arry and 'Arriet's Evening Out,1909,NULL,Yes
60,'Arry on the Steamboat,1901,NULL,Yes
61,'As se hizo' - Torremolinos 73,2003,NULL,Yes
62,'Babicky dobjejte presne!',1983,5.6,Yes
63,'Bad Buck' of Santa Ynez,1915,NULL,Yes
64,'Bats' Abound,1999,NULL,Yes
65,"'Belle de Varsovie, La'",1993,NULL,Yes
66,'Betty Bee' (sopravvivere d'arte),1999,NULL,Yes
67,"'Billy Elliot' Boy, The",2001,NULL,Yes
68,'Borovo' Institut,1984,NULL,Yes
69,'Breaker' Morant,1980,7.9,Yes
70,"'Brennus', Le",1897,NULL,Yes
71,'Broadway Melody of 1940',1940,7.1,Yes
72,'Bullitt': Steve McQueen's Commitment to Reality,1968,6.6,Yes
73,"'burbs, The",1989,5.9,Yes
74,"'C' Word, The",1993,NULL,Yes
76,'Cat and Mouse' at the Home,1983,NULL,Yes
77,'Catch Me If You Can': Behind the Camera,2003,NULL,Yes
78,'Columbia',1899,NULL,Yes
79,'Columbia' and 'Defender' Rounding Stake-Boat,1899,NULL,Yes
80,'Columbia' and 'Shamrock II' Finishing Second Race,1901,NULL,Yes
81,'Columbia' and 'Shamrock II': Jockeying and Starting,1901,NULL,Yes
82,'Columbia' and 'Shamrock II': Start of Second Race,1901,NULL,Yes
83,'Columbia' and 'Shamrock II': Starting in the Third Race,1901,NULL,Yes
84,'Columbia' and 'Shamrock II': Turning the Outer Stake Boat,1901,NULL,Yes
85,'Columbia' Close to the Wind,1899,NULL,Yes
86,'Columbia' vs. 'Defender',1899,NULL,Yes
87,'Columbia' Winning the Cup,1899,3.6,Yes
88,'Columbia' Winning the Cup (1901/I),1901,NULL,Yes
89,'Columbia' Winning the Cup (1901/II),1901,NULL,Yes
90,"'Corsair', The",1899,NULL,Yes
91,"'Courageous', O",1932,NULL,Yes
93,'Courier',1900,NULL,Yes
94,'Crocodile' Dundee II,1988,4.9,Yes
95,'Cross the Mexican Line,1914,NULL,Yes
96,'Den vide verden's billedbog nr. 1,1938,NULL,Yes
97,'Deutschland' Leaving New York at Full Speed (with Prince Henry of Prussia),1902,NULL,Yes
98,"'Diamond S' Ranch, The",1912,NULL,Yes
99,'Dikke Bertha' op doortocht in Brussel,1919,NULL,Yes
100,'E',1981,7.9,Yes
101,'El Chicko' - der Verdacht,1995,4.1,Yes
102,'Elf' Jukebox,2004,NULL,Yes
103,"'Erin', The",1899,NULL,Yes
104,'Etruria',1899,NULL,Yes
105,'Fighting' Dan McCool,1912,NULL,Yes
106,'Foxy Grandpa' Shows Boys He Is a Magician,1902,NULL,Yes
107,'Fraid Cat,1914,NULL,Yes
108,'G' Men,1935,7.2,Yes
109,"'Gator and the Pickaninny, The",1900,NULL,Yes
112,'Giant' Stars Are Off to Texas,1955,NULL,Yes
113,'Glavdynya' na otdykhe,1927,NULL,Yes
114,"'Glen Island,' Accompanying Parade, The",1898,NULL,Yes
115,"'Golden Prison': The Louvre, 'A'",1964,NULL,Yes
116,'Graf Waldersee',1899,NULL,Yes
117,'Halloween 4' Final Cut,2001,NULL,Yes
118,'Halloween' Unmasked 2000,1999,NULL,Yes
119,"'Havana', The",1899,NULL,Yes
120,'Hellboy': The Seeds of Creation,2004,NULL,Yes
121,"'High Sign', The",1921,7.7,Yes
123,'Hol zsarnoksg van' (Egy br visszaemlkezsei),1989,NULL,Yes
124,"'Hyp-Nut-Tist', The",1935,6.1,Yes
126,"'I' of the Beholder, The",1952,NULL,Yes
127,'If Only' Jim,1920,3.5,Yes
128,"'Imp'probable Mr. Wee Gee, The",1966,NULL,Yes
129,'Imperial Limited.' Canadian Pacific R.R.,1899,NULL,Yes
130,"'Imhar', une lgende",1997,6.9,Yes
131,'In Side Out',1965,NULL,Yes
132,"'Ins and Outs' of the Diaphragm, The",1976,NULL,Yes
133,'It's Alive!',1969,NULL,Yes
134,'Itch,1989,NULL,Yes
135,"'Jarabe' Dance, Streets of Mexico, Pan-American Exposition",1901,NULL,Yes
136,'Java Madness' formerly titled 'Coffee Madness',1995,6.6,Yes
137,"'Je vous salue, Marie'",1985,6.4,Yes
138,"'Jennie Deans', The",1898,NULL,Yes
139,"'J to tedy beru, sfe...!'",1977,5.2,Yes
140,"'k vergeet u nooit, venti",1957,NULL,Yes
141,'Kaash',1987,5.7,Yes
142,"'King' and 'Queen,' the Great High Diving Horses",1899,NULL,Yes
143,'Kronprinz Wilhelm' with Prince Henry (of Prussia),1902,NULL,Yes
144,'Kultura',1985,NULL,Yes
145,'Ks-Bels' letmdjas: Romvri Jzsef,1995,NULL,Yes
146,'L'Oiseau Bleu'. Sneltrein tussen Antwerpen en Parijs,1922,NULL,Yes
147,'Leapfrog' on the Beach,1898,NULL,Yes
148,'Loco' Motive,1927,NULL,Yes
149,"'Lorenzo', The (1898/I)",1898,NULL,Yes
150,"'Lorenzo', The (1898/II)",1898,NULL,Yes
151,'M' comme Mathieu,1973,NULL,Yes
152,'M' Word,1996,NULL,Yes
153,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,7.9,Yes
154,"'Make-Up' Thief, The",1899,NULL,Yes
155,'Man Who Couldn't Feel' and Other Tales,1996,NULL,Yes
156,'Manos' the Hands of Fate,1966,1.6,Yes
158,'Master Harold'... and the Boys,1985,NULL,Yes
159,'Meng' jiu jia zhi ye,1992,NULL,Yes
160,'Merci la vie',1991,7.2,Yes
161,'Metal Gear Solid 2: Sons of Liberty' - Making of the Hollywood Game,2002,NULL,Yes
162,'Meteor III' Afloat,1902,NULL,Yes
163,"'Meteor', The",1902,NULL,Yes
164,'Mid Kentucky Hills,1913,NULL,Yes
165,'Midnight Cowboy' Revisited,1994,NULL,Yes
166,'Midst Woodland Shadows,1914,NULL,Yes
167,'Minagoroshi no uta' yori kenj-yo saraba!,1960,NULL,Yes
168,'Ming wang xing' xing dong,1992,NULL,Yes
169,"'Mini' ta, La",1968,NULL,Yes
170,"'Model' Wife, A",1915,NULL,Yes
171,'Moonlight Mile': A Journey to Screen,2003,NULL,Yes
172,"'Moving' Picture, A",1899,NULL,Yes
173,'n donderend gepiep,1963,NULL,Yes
174,"'N herinnering wijlen Z.M. Willem III een rijtoer makende door het Vondelpark te Amsterdam, 'N (1899",1899,NULL,Yes
175,'n stukje humor,2002,NULL,Yes
176,'N Sync & Britney Spears: Your #1 Video Requests... And More!,2000,NULL,Yes
177,'N Sync In Concert,1998,NULL,Yes
178,'N Sync: 'Ntimate Holiday Special,2000,NULL,Yes
179,'N Sync: Live From Madison Square Garden,2000,NULL,Yes
180,'N Sync: Making the Tour,2000,NULL,Yes
181,'N Sync: No Strings Attached,1999,NULL,Yes
182,'N Sync: PopOdyssey Live,2002,NULL,Yes
183,'N Sync: The Atlantis Concert,2001,NULL,Yes
184,'Ne gnstige Gelegenheit,1999,4.6,Yes
185,'Neath Austral Skies,1913,NULL,Yes
186,'Neath Brooklyn Bridge,1942,5.4,Yes
187,'Neath Canadian Skies,1946,4,Yes
188,'Neath the Arizona Skies,1934,4.9,Yes
189,'Neath the Bababa Tree,1931,NULL,Yes
190,'Neath Western Skies,1929,NULL,Yes
191,'Nendo no omen' yori: kaachan,1961,NULL,Yes
192,'Nfama!,1924,NULL,Yes
193,"'Niagara', The",1899,NULL,Yes
195,"'Night, Mother",1986,6.7,Yes
196,"'Non', ou A V Glria de Mandar",1990,6.8,Yes
197,'O Marenariello,1927,NULL,Yes
198,'O re,1989,4,Yes
199,'O' de amor,1995,NULL,Yes
200,'O' nu,1978,NULL,Yes
201,'On the Inside: Catching Bank Robbers',2000,NULL,Yes
202,'Ostler Joe,1908,NULL,Yes
204,"'Panaderos', Los",1992,NULL,Yes
205,"'Panther', The",1898,NULL,Yes
206,'Partizanka',1974,NULL,Yes
207,'Partizanka' - U korak s modom,1975,NULL,Yes
208,"'Pennsylvania', The",1899,NULL,Yes
209,'Pimpernel' Smith,1941,7,Yes
210,"'Please Kill Me, I'm a Faggot Nigger Jew'",1996,NULL,Yes
211,'Pogoda domu niechaj bedzie z Toba...',1979,NULL,Yes
214,'Rameau's Nephew' by Diderot (Thanx to Dennis Young),1974,NULL,Yes
215,'Real Indian',1996,NULL,Yes
217,"'Revenue' and the Girl, The",1911,NULL,Yes
218,"'Richard Peck', The",1899,NULL,Yes
219,'Romeo Must Die' Movie Special,2000,NULL,Yes
220,'Rope' Unleashed,2001,NULL,Yes
221,'Roslin Castle' (Troopship),1899,NULL,Yes
222,'round and 'round,1978,NULL,Yes
223,'Round Midnight,1986,7.3,Yes
224,'Round the World in 80 Days,1914,NULL,Yes
225,"'S Wonderful, 'S Marvelous, 'S Gershwin",1972,NULL,Yes
226,"'Sagamore', The",1899,NULL,Yes
227,"'Sagasta', Admiral Dewey's Pet Pig",1899,NULL,Yes
228,"'Sagres' em Goa, Bombaim, Djibuti, Suez e Cairo",1980,NULL,Yes
229,'Sagres' em Marselha e Regresso a Lisboa,1980,NULL,Yes
230,'Salem's Lot,2004,NULL,Yes
231,'Sampson' Champion High Stepper,1899,NULL,Yes
232,'Shamrock',1899,NULL,Yes
233,'Shamrock' After Carrying Away Topsail,1899,NULL,Yes
234,'Shamrock' and 'Columbia',1899,NULL,Yes
235,'Shamrock' and 'Columbia' Jockeying for a Start,1899,NULL,Yes
236,'Shamrock' and 'Columbia' Rounding the Outer Stake Boat,1899,NULL,Yes
237,"'Shamrock' and 'Columbia' Rounding the Outer Stake Boat, No. 2",1899,NULL,Yes
238,"'Shamrock' and 'Columbia' Yacht Race: 1st Race, No. 2",1899,NULL,Yes
239,'Shamrock' and 'Columbia' Yacht Race: First Race,1899,NULL,Yes
240,'Shamrock' and 'Erin' Sailing,1899,NULL,Yes
241,"'Simple Life' Cure, The",1914,NULL,Yes
242,'Sipad',1979,NULL,Yes
243,'Slask',1956,NULL,Yes
244,'Sloboda' - Kula,1971,NULL,Yes
245,"'Space: 1999' Documentary, The",1996,NULL,Yes
246,"'St. Paul' Outward Bound, The",1900,NULL,Yes
247,"'Standard' Picture Animated, A",1897,NULL,Yes
248,"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,NULL,Yes
249,'Sunset Blvd.': A Look Back,2002,NULL,Yes
250,"'Swim, Swim...'",1996,NULL,Yes
251,'t bolleken,1988,NULL,Yes
252,'t is maar een woord,1962,NULL,Yes
253,'t Is wreed in de wereld,1954,NULL,Yes
254,'t Was een April,1935,NULL,Yes
255,'Tags': A Short Film,1995,NULL,Yes
256,'Taint Legal,1940,NULL,Yes
257,"'Teddy' Bears, The",1907,2,Yes
258,'Tempo',1980,NULL,Yes
259,"'Texas,' Naval Parade, The",1898,NULL,Yes
260,'Til Death Do Us Part,1960,NULL,Yes
261,'Til Death Do Us Part (1998/I),1998,NULL,Yes
262,'Til Death Do Us Part,2002,NULL,Yes
263,'Til There Was You,1997,4.8,Yes
264,'Til We Meet Again,1940,6.3,Yes
265,'Till Human Voices Wake Us and We Drown,1996,NULL,Yes
266,'Till the Garden Grows,1996,NULL,Yes
267,'Tis a Long Lane That Has No Turning,1925,NULL,Yes
268,'Tis Mother!,1912,NULL,Yes
270,'Tis Spring,1933,NULL,Yes
271,'Tis the Ball,1934,NULL,Yes
272,'Tis the Bull,1923,NULL,Yes
273,'Tis the Season to Be Smurfy,1984,NULL,Yes
274,'Tis Tough to Be Tender,1918,NULL,Yes
275,'Tong tatlong tatay kong pakitong-kitong,1998,NULL,Yes
276,'Twas Ever Thus,1915,NULL,Yes
277,'Twas Ever Thus,1916,NULL,Yes
278,'Twas Henry's Fault,1919,NULL,Yes
279,'Twas the Night,2001,NULL,Yes
280,'Twas the Night,2002,NULL,Yes
281,'Twas the Night Before Christmas,1914,NULL,Yes
282,'Twas the Night Before Christmas,1974,NULL,Yes
283,'Tween Two Loves,1911,NULL,Yes
284,'Twixt Red Man and White,1910,NULL,Yes
285,"'Uncle Tom's Cabin' Troupe, An",1913,NULL,Yes
286,'Unis - Pretis' - put do fabrike,1983,NULL,Yes
287,"'V' enfrenta a la Blitzkrieg, La",1941,NULL,Yes
288,'Vizcaya' Under Full Headway,1898,NULL,Yes
289,'Way Down South,1898,NULL,Yes
290,'Weary Willie' and the Gardener,1901,NULL,Yes
291,'Weird Al' Yankovic Live!,1999,NULL,Yes
292,"'Weird Al' Yankovic Video Library: His Greatest Hits, The",1992,NULL,Yes
293,'Weird Al' Yankovic: (There's No),1996,NULL,Yes
294,'Weird Al' Yankovic: The Ultimate Video Collection,2003,NULL,Yes
295,'Weird Al' Yankovic: The Videos,1996,NULL,Yes
296,'Wenn die Hhne krh'n...',1990,NULL,Yes
297,'What's Your 'I.Q.'?' Number Two,1940,5.9,Yes
298,'When It Rains',2000,NULL,Yes
299,'Where Did You Go?' 'Out.' 'What Did You Do?' 'Nothing.',1960,NULL,Yes
300,'Wiltons' - The Handsomest Hall in Town,1970,NULL,Yes
301,'Zemlja' - Grupa slikara,1973,NULL,Yes
302,'Zmeiny istochnik,1997,NULL,Yes
303,(),2003,NULL,Yes
304,(A),1968,NULL,Yes
305,(A),2002,NULL,Yes
306,(ab),1995,NULL,Yes
307,(Blooper),1991,NULL,Yes
308,(Brief Inquiry Into),2000,NULL,Yes
309,(Calcutta),1993,NULL,Yes
310,(Entre nous),2002,NULL,Yes
311,(G),1998,NULL,Yes
312,(H),2001,NULL,Yes
313,(Haru),1996,NULL,Yes
314,(In),1991,NULL,Yes
315,(Now),1976,NULL,Yes
316,(Ohne Titel),2003,NULL,Yes
317,(Paris: XY),2001,NULL,Yes
318,(Past Present Future),2004,NULL,Yes
319,(Po),1998,NULL,Yes
320,(R),2003,NULL,Yes
321,(Stories from),1995,NULL,Yes
322,(T),2004,NULL,Yes
323,(Un),2003,NULL,Yes
324,(Winter),2001,NULL,Yes
325,(),1999,NULL,Yes
326,* FDR,1982,NULL,Yes
327,*69,1998,NULL,Yes
328,*batteries not included,1987,5.7,Yes
329,*Corpus Callosum,2002,4.9,Yes
330,0,1987,9.6,Yes
331,-30-,1959,6,Yes
332,#NAME?,1932,6.3,Yes
